WOJ,WOJEWÓDZTWO,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
02,DOLNOŚLĄSKIE,ANTONI,MĘŻCZYZNA,539
02,DOLNOŚLĄSKIE,JAKUB,MĘŻCZYZNA,467
02,DOLNOŚLĄSKIE,JAN,MĘŻCZYZNA,450
02,DOLNOŚLĄSKIE,ALEKSANDER,MĘŻCZYZNA,435
02,DOLNOŚLĄSKIE,LEON,MĘŻCZYZNA,435
02,DOLNOŚLĄSKIE,FRANCISZEK,MĘŻCZYZNA,431
02,DOLNOŚLĄSKIE,FILIP,MĘŻCZYZNA,391
02,DOLNOŚLĄSKIE,MIKOŁAJ,MĘŻCZYZNA,387
02,DOLNOŚLĄSKIE,IGNACY,MĘŻCZYZNA,332
02,DOLNOŚLĄSKIE,STANISŁAW,MĘŻCZYZNA,330
02,DOLNOŚLĄSKIE,SZYMON,MĘŻCZYZNA,323
02,DOLNOŚLĄSKIE,NIKODEM,MĘŻCZYZNA,300
02,DOLNOŚLĄSKIE,WOJCIECH,MĘŻCZYZNA,292
02,DOLNOŚLĄSKIE,TYMON,MĘŻCZYZNA,271
02,DOLNOŚLĄSKIE,MICHAŁ,MĘŻCZYZNA,271
02,DOLNOŚLĄSKIE,ADAM,MĘŻCZYZNA,260
02,DOLNOŚLĄSKIE,MARCEL,MĘŻCZYZNA,250
02,DOLNOŚLĄSKIE,KACPER,MĘŻCZYZNA,249
02,DOLNOŚLĄSKIE,TYMOTEUSZ,MĘŻCZYZNA,205
02,DOLNOŚLĄSKIE,MAKSYMILIAN,MĘŻCZYZNA,192
02,DOLNOŚLĄSKIE,OLIWIER,MĘŻCZYZNA,187
02,DOLNOŚLĄSKIE,IGOR,MĘŻCZYZNA,181
02,DOLNOŚLĄSKIE,WIKTOR,MĘŻCZYZNA,179
02,DOLNOŚLĄSKIE,PIOTR,MĘŻCZYZNA,177
02,DOLNOŚLĄSKIE,JULIAN,MĘŻCZYZNA,167
02,DOLNOŚLĄSKIE,MIŁOSZ,MĘŻCZYZNA,157
02,DOLNOŚLĄSKIE,DAWID,MĘŻCZYZNA,144
02,DOLNOŚLĄSKIE,OSKAR,MĘŻCZYZNA,143
02,DOLNOŚLĄSKIE,BARTOSZ,MĘŻCZYZNA,140
02,DOLNOŚLĄSKIE,KAROL,MĘŻCZYZNA,136
02,DOLNOŚLĄSKIE,BRUNO,MĘŻCZYZNA,123
02,DOLNOŚLĄSKIE,KRZYSZTOF,MĘŻCZYZNA,123
02,DOLNOŚLĄSKIE,DOMINIK,MĘŻCZYZNA,122
02,DOLNOŚLĄSKIE,HUBERT,MĘŻCZYZNA,113
02,DOLNOŚLĄSKIE,MATEUSZ,MĘŻCZYZNA,104
02,DOLNOŚLĄSKIE,TOMASZ,MĘŻCZYZNA,103
02,DOLNOŚLĄSKIE,CEZARY,MĘŻCZYZNA,93
02,DOLNOŚLĄSKIE,MACIEJ,MĘŻCZYZNA,91
02,DOLNOŚLĄSKIE,ARTUR,MĘŻCZYZNA,88
02,DOLNOŚLĄSKIE,NATAN,MĘŻCZYZNA,88
02,DOLNOŚLĄSKIE,GABRIEL,MĘŻCZYZNA,87
02,DOLNOŚLĄSKIE,TADEUSZ,MĘŻCZYZNA,86
02,DOLNOŚLĄSKIE,FABIAN,MĘŻCZYZNA,80
02,DOLNOŚLĄSKIE,ALAN,MĘŻCZYZNA,79
02,DOLNOŚLĄSKIE,KUBA,MĘŻCZYZNA,75
02,DOLNOŚLĄSKIE,PAWEŁ,MĘŻCZYZNA,73
02,DOLNOŚLĄSKIE,BORYS,MĘŻCZYZNA,66
02,DOLNOŚLĄSKIE,KAJETAN,MĘŻCZYZNA,65
02,DOLNOŚLĄSKIE,DANIEL,MĘŻCZYZNA,63
02,DOLNOŚLĄSKIE,HENRYK,MĘŻCZYZNA,62
02,DOLNOŚLĄSKIE,MILAN,MĘŻCZYZNA,61
02,DOLNOŚLĄSKIE,KAZIMIERZ,MĘŻCZYZNA,53
02,DOLNOŚLĄSKIE,OLAF,MĘŻCZYZNA,53
02,DOLNOŚLĄSKIE,MIESZKO,MĘŻCZYZNA,52
02,DOLNOŚLĄSKIE,WITOLD,MĘŻCZYZNA,52
02,DOLNOŚLĄSKIE,LEO,MĘŻCZYZNA,47
02,DOLNOŚLĄSKIE,ADRIAN,MĘŻCZYZNA,46
02,DOLNOŚLĄSKIE,GRZEGORZ,MĘŻCZYZNA,45
02,DOLNOŚLĄSKIE,KSAWERY,MĘŻCZYZNA,44
02,DOLNOŚLĄSKIE,TEODOR,MĘŻCZYZNA,42
02,DOLNOŚLĄSKIE,JÓZEF,MĘŻCZYZNA,40
02,DOLNOŚLĄSKIE,ROBERT,MĘŻCZYZNA,39
02,DOLNOŚLĄSKIE,LEONARD,MĘŻCZYZNA,38
02,DOLNOŚLĄSKIE,OLIVIER,MĘŻCZYZNA,37
02,DOLNOŚLĄSKIE,PATRYK,MĘŻCZYZNA,37
02,DOLNOŚLĄSKIE,KAMIL,MĘŻCZYZNA,36
02,DOLNOŚLĄSKIE,ERYK,MĘŻCZYZNA,34
02,DOLNOŚLĄSKIE,MARK,MĘŻCZYZNA,34
02,DOLNOŚLĄSKIE,SEBASTIAN,MĘŻCZYZNA,33
02,DOLNOŚLĄSKIE,STEFAN,MĘŻCZYZNA,32
02,DOLNOŚLĄSKIE,KRYSTIAN,MĘŻCZYZNA,31
02,DOLNOŚLĄSKIE,MARCIN,MĘŻCZYZNA,31
02,DOLNOŚLĄSKIE,RAFAŁ,MĘŻCZYZNA,31
02,DOLNOŚLĄSKIE,ALEKS,MĘŻCZYZNA,31
02,DOLNOŚLĄSKIE,JERZY,MĘŻCZYZNA,31
02,DOLNOŚLĄSKIE,EMIL,MĘŻCZYZNA,30
02,DOLNOŚLĄSKIE,GUSTAW,MĘŻCZYZNA,30
02,DOLNOŚLĄSKIE,BARTŁOMIEJ,MĘŻCZYZNA,30
02,DOLNOŚLĄSKIE,KONSTANTY,MĘŻCZYZNA,29
02,DOLNOŚLĄSKIE,KORNEL,MĘŻCZYZNA,29
02,DOLNOŚLĄSKIE,RYSZARD,MĘŻCZYZNA,29
02,DOLNOŚLĄSKIE,JEREMI,MĘŻCZYZNA,27
02,DOLNOŚLĄSKIE,TOBIASZ,MĘŻCZYZNA,27
02,DOLNOŚLĄSKIE,FELIKS,MĘŻCZYZNA,27
02,DOLNOŚLĄSKIE,PRZEMYSŁAW,MĘŻCZYZNA,26
02,DOLNOŚLĄSKIE,DAMIAN,MĘŻCZYZNA,26
02,DOLNOŚLĄSKIE,NATANIEL,MĘŻCZYZNA,24
02,DOLNOŚLĄSKIE,BŁAŻEJ,MĘŻCZYZNA,23
02,DOLNOŚLĄSKIE,GRACJAN,MĘŻCZYZNA,23
02,DOLNOŚLĄSKIE,KORDIAN,MĘŻCZYZNA,22
02,DOLNOŚLĄSKIE,JULIUSZ,MĘŻCZYZNA,22
02,DOLNOŚLĄSKIE,ŁUKASZ,MĘŻCZYZNA,22
02,DOLNOŚLĄSKIE,KONRAD,MĘŻCZYZNA,22
