WOJ,WOJEWÓDZTWO,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
02,DOLNOŚLĄSKIE,ZUZANNA,KOBIETA,497
02,DOLNOŚLĄSKIE,HANNA,KOBIETA,489
02,DOLNOŚLĄSKIE,ZOFIA,KOBIETA,428
02,DOLNOŚLĄSKIE,MAJA,KOBIETA,416
02,DOLNOŚLĄSKIE,JULIA,KOBIETA,405
02,DOLNOŚLĄSKIE,LAURA,KOBIETA,365
02,DOLNOŚLĄSKIE,OLIWIA,KOBIETA,362
02,DOLNOŚLĄSKIE,POLA,KOBIETA,346
02,DOLNOŚLĄSKIE,ALICJA,KOBIETA,309
02,DOLNOŚLĄSKIE,LENA,KOBIETA,301
02,DOLNOŚLĄSKIE,MARIA,KOBIETA,277
02,DOLNOŚLĄSKIE,EMILIA,KOBIETA,276
02,DOLNOŚLĄSKIE,ANTONINA,KOBIETA,244
02,DOLNOŚLĄSKIE,IGA,KOBIETA,232
02,DOLNOŚLĄSKIE,AMELIA,KOBIETA,228
02,DOLNOŚLĄSKIE,MICHALINA,KOBIETA,227
02,DOLNOŚLĄSKIE,ALEKSANDRA,KOBIETA,227
02,DOLNOŚLĄSKIE,WIKTORIA,KOBIETA,214
02,DOLNOŚLĄSKIE,LILIANA,KOBIETA,185
02,DOLNOŚLĄSKIE,MARCELINA,KOBIETA,183
02,DOLNOŚLĄSKIE,KLARA,KOBIETA,175
02,DOLNOŚLĄSKIE,NATALIA,KOBIETA,171
02,DOLNOŚLĄSKIE,HELENA,KOBIETA,169
02,DOLNOŚLĄSKIE,NELA,KOBIETA,158
02,DOLNOŚLĄSKIE,JAGODA,KOBIETA,154
02,DOLNOŚLĄSKIE,ANNA,KOBIETA,151
02,DOLNOŚLĄSKIE,NADIA,KOBIETA,147
02,DOLNOŚLĄSKIE,BLANKA,KOBIETA,137
02,DOLNOŚLĄSKIE,KAJA,KOBIETA,132
02,DOLNOŚLĄSKIE,MILENA,KOBIETA,128
02,DOLNOŚLĄSKIE,GABRIELA,KOBIETA,119
02,DOLNOŚLĄSKIE,MIA,KOBIETA,119
02,DOLNOŚLĄSKIE,KORNELIA,KOBIETA,119
02,DOLNOŚLĄSKIE,ŁUCJA,KOBIETA,119
02,DOLNOŚLĄSKIE,NINA,KOBIETA,115
02,DOLNOŚLĄSKIE,LILIANNA,KOBIETA,113
02,DOLNOŚLĄSKIE,ANASTAZJA,KOBIETA,102
02,DOLNOŚLĄSKIE,MARTYNA,KOBIETA,92
02,DOLNOŚLĄSKIE,SARA,KOBIETA,87
02,DOLNOŚLĄSKIE,MATYLDA,KOBIETA,87
02,DOLNOŚLĄSKIE,BARBARA,KOBIETA,76
02,DOLNOŚLĄSKIE,RÓŻA,KOBIETA,76
02,DOLNOŚLĄSKIE,WERONIKA,KOBIETA,76
02,DOLNOŚLĄSKIE,NIKOLA,KOBIETA,76
02,DOLNOŚLĄSKIE,LIWIA,KOBIETA,74
02,DOLNOŚLĄSKIE,KAROLINA,KOBIETA,68
02,DOLNOŚLĄSKIE,ANIELA,KOBIETA,65
02,DOLNOŚLĄSKIE,BIANKA,KOBIETA,64
02,DOLNOŚLĄSKIE,GAJA,KOBIETA,61
02,DOLNOŚLĄSKIE,AURELIA,KOBIETA,60
